id,experiment_id,result_type,result_value,context,created,updated
1.880065600000000003e+01,1.499964999999999993e+00,8.164680000000000236e-06
1.890065599999999790e+01,1.499964999999999993e+00,8.173135000000000480e-06
1.900065400000000082e+01,1.499964999999999993e+00,8.182530000000000413e-06
1.910065799999999925e+01,1.499964999999999993e+00,8.188167000000000373e-06
1.920065999999999917e+01,1.499964999999999993e+00,8.199439999999999206e-06
1.930065600000000003e+01,1.499964999999999993e+00,8.205075999999999773e-06
1.940065599999999790e+01,1.499964999999999993e+00,8.206954999999999760e-06
1.950065400000000082e+01,1.499964999999999993e+00,8.222925999999999950e-06
1.960065799999999925e+01,1.499964999999999993e+00,8.217288999999999990e-06
1.970065599999999861e+01,1.499964999999999993e+00,8.234199000000000477e-06
1.980065600000000003e+01,1.499964999999999993e+00,8.253926999999999553e-06
1.990065599999999790e+01,1.499964999999999993e+00,8.254865999999999850e-06
2.000065599999999932e+01,1.499964999999999993e+00,8.270837000000000040e-06
2.010065799999999925e+01,1.499964999999999993e+00,8.277413999999999689e-06
2.020065599999999861e+01,1.499964999999999993e+00,8.285868000000000541e-06
2.030065600000000003e+01,1.499964999999999993e+00,8.291503999999999414e-06
2.040065599999999790e+01,1.499964999999999993e+00,8.303716999999999630e-06
2.050066199999999839e+01,1.499964999999999993e+00,8.317808999999999834e-06
2.060066399999999831e+01,1.499964999999999993e+00,8.320627000000000117e-06
2.070066599999999823e+01,1.499964999999999993e+00,8.340356000000000280e-06
2.080066399999999760e+01,1.499964999999999993e+00,8.347870999999999140e-06
2.090066399999999902e+01,1.499964999999999993e+00,8.360083999999999357e-06
2.100065599999999932e+01,1.499964999999999993e+00,8.369477999999999898e-06
2.110065600000000074e+01,1.499964999999999993e+00,8.379812000000000128e-06
2.120065599999999861e+01,1.499964999999999993e+00,8.392025999999999737e-06
2.130065600000000003e+01,1.499964999999999993e+00,8.399541000000000291e-06
2.140065599999999790e+01,1.499964999999999993e+00,8.409873999999999434e-06
2.150065599999999932e+01,1.499964999999999993e+00,8.417391000000000467e-06
2.160065799999999925e+01,1.499964999999999993e+00,8.425844999999999624e-06
2.170065599999999861e+01,1.499964999999999993e+00,8.435239000000000165e-06
2.180065600000000003e+01,1.499964999999999993e+00,8.450271000000000057e-06
2.190065599999999790e+01,1.499964999999999993e+00,8.461544000000000584e-06
2.200065599999999932e+01,1.499964999999999993e+00,8.473755999999999715e-06
2.210065600000000074e+01,1.499964999999999993e+00,8.475634999999999701e-06
2.220065599999999861e+01,1.499964999999999993e+00,8.499121000000000445e-06
2.230065600000000003e+01,1.499964999999999993e+00,8.502879000000000418e-06
2.240065599999999790e+01,1.499964999999999993e+00,8.513213000000000648e-06
2.250065599999999932e+01,1.499964999999999993e+00,8.530122999999999441e-06
2.260065600000000074e+01,1.499964999999999993e+00,8.531062999999999131e-06
2.270065800000000067e+01,1.499964999999999993e+00,8.550790999999999901e-06
2.280065600000000003e+01,1.499964999999999993e+00,8.561123999999999045e-06
2.290065799999999996e+01,1.499964999999999993e+00,8.561123999999999045e-06
2.300065399999999727e+01,1.499964999999999993e+00,8.582731999999999194e-06
2.310065599999999719e+01,1.499964999999999993e+00,8.594004999999999722e-06
2.320065800000000067e+01,1.499964999999999993e+00,8.600580999999999978e-06
2.330065600000000003e+01,1.499964999999999993e+00,8.599641000000000289e-06
2.340065599999999790e+01,1.499964999999999993e+00,8.616552000000000168e-06
2.350065599999999932e+01,1.499964999999999993e+00,8.630642999999999285e-06
2.360065599999999719e+01,1.499964999999999993e+00,8.641916999999999205e-06
2.370065599999999861e+01,1.499964999999999993e+00,8.650371000000000056e-06
2.380065799999999854e+01,1.499964999999999993e+00,8.662584000000000272e-06
2.390065599999999790e+01,1.499964999999999993e+00,8.669160000000000529e-06
2.400065399999999727e+01,1.499964999999999993e+00,8.681372999999999052e-06
2.410065599999999719e+01,1.499964999999999993e+00,8.694524999999999566e-06
2.420065599999999861e+01,1.499964999999999993e+00,8.698282999999999539e-06
2.430065600000000003e+01,1.499964999999999993e+00,8.704858999999999796e-06
2.440065599999999790e+01,1.499964999999999993e+00,8.715193000000000026e-06
2.450065599999999932e+01,1.499964999999999993e+00,8.736799999999999089e-06
2.460065599999999719e+01,1.499964999999999993e+00,8.729283999999999142e-06
2.470065799999999712e+01,1.499964999999999993e+00,8.749951999999999603e-06
2.480065600000000003e+01,1.499964999999999993e+00,8.761225999999999522e-06
2.490065599999999790e+01,1.499964999999999993e+00,8.769680999999999766e-06
2.500065399999999727e+01,1.499964999999999993e+00,8.772499000000000049e-06
2.510065599999999719e+01,1.499964999999999993e+00,8.786591000000000252e-06
2.520065599999999861e+01,1.499964999999999993e+00,8.786591000000000252e-06
2.530065600000000003e+01,1.499964999999999993e+00,8.801620999999999666e-06
2.540065599999999790e+01,1.499964999999999993e+00,8.811955999999999289e-06
2.550065599999999932e+01,1.499964999999999993e+00,8.817591999999999856e-06
2.560065599999999719e+01,1.499964999999999993e+00,8.834502000000000343e-06
2.570065599999999861e+01,1.499964999999999993e+00,8.845774999999999176e-06
2.580065600000000003e+01,1.499964999999999993e+00,8.840137999999999216e-06
2.590065599999999790e+01,1.499964999999999993e+00,8.853289999999999730e-06
2.600065399999999727e+01,1.499964999999999993e+00,8.869260999999999920e-06
2.610065599999999719e+01,1.499964999999999993e+00,8.875837999999999569e-06
2.620065799999999712e+01,1.499964999999999993e+00,8.884292000000000420e-06
2.630065600000000003e+01,1.499964999999999993e+00,8.892747000000000664e-06
2.640065599999999790e+01,1.499964999999999993e+00,8.899324000000000313e-06
2.650065599999999932e+01,1.499964999999999993e+00,8.906838999999999173e-06
2.660065599999999719e+01,1.499964999999999993e+00,8.921869999999999673e-06
2.670065799999999712e+01,1.499964999999999993e+00,8.926566999999999944e-06
2.680065600000000003e+01,1.499964999999999993e+00,8.933143000000000200e-06
2.690065599999999790e+01,1.499964999999999993e+00,8.950052999999998993e-06
2.700065399999999727e+01,1.499964999999999993e+00,8.945356000000000417e-06
2.710065399999999869e+01,1.499964999999999993e+00,8.959446999999999534e-06
2.720065799999999712e+01,1.499964999999999993e+00,8.955688999999999561e-06
2.730065600000000003e+01,1.499964999999999993e+00,8.973538999999999737e-06
2.740065599999999790e+01,1.499964999999999993e+00,8.981993999999999981e-06
2.750065799999999783e+01,1.499964999999999993e+00,8.981054000000000291e-06
2.760065599999999719e+01,1.499964999999999993e+00,8.991388999999999914e-06
2.770065799999999712e+01,1.499964999999999993e+00,8.998904000000000468e-06
2.780065600000000003e+01,1.499964999999999993e+00,9.006418999999999327e-06
2.790065599999999790e+01,1.499964999999999993e+00,9.012055999999999287e-06
2.800065399999999727e+01,1.499964999999999993e+00,9.023328999999999814e-06
2.810065599999999719e+01,1.499964999999999993e+00,9.021449999999999828e-06
2.820065799999999712e+01,1.499964999999999993e+00,9.043057000000000585e-06
2.830065600000000003e+01,1.499964999999999993e+00,9.038360999999999707e-06
2.840065799999999996e+01,1.499964999999999993e+00,9.032723999999999747e-06
2.850065599999999932e+01,1.499964999999999993e+00,9.051513000000000221e-06
2.860065599999999719e+01,1.499964999999999993e+00,9.059968000000000464e-06
2.870065799999999712e+01,1.499964999999999993e+00,9.060906999999999067e-06
2.880066599999999966e+01,1.499964999999999993e+00,9.066543999999999027e-06
2.890066599999999752e+01,1.499964999999999993e+00,9.077816999999999554e-06
2.900066599999999895e+01,1.499964999999999993e+00,9.076877999999999257e-06
2.910066399999999831e+01,1.499964999999999993e+00,9.081574000000000135e-06
2.920066399999999973e+01,1.499964999999999993e+00,9.081574000000000135e-06
2.930065600000000003e+01,1.499964999999999993e+00,9.088150999999999784e-06
2.940065599999999790e+01,1.499964999999999993e+00,9.096606000000000028e-06
2.950065399999999727e+01,1.499964999999999993e+00,9.099424000000000311e-06
2.960065599999999719e+01,1.499964999999999993e+00,9.114454999999999118e-06
2.970065599999999861e+01,1.499964999999999993e+00,9.112575999999999131e-06
2.980065600000000003e+01,1.499964999999999993e+00,9.117274000000000488e-06
2.990065599999999790e+01,1.499964999999999993e+00,9.122909999999999361e-06
3.000065399999999727e+01,1.499964999999999993e+00,9.131365999999998997e-06
3.010065599999999719e+01,1.499964999999999993e+00,9.140759999999999538e-06
3.020065599999999861e+01,1.499964999999999993e+00,9.147335000000000402e-06
3.030065600000000003e+01,1.499964999999999993e+00,9.133243999999999591e-06
3.040065599999999790e+01,1.499964999999999993e+00,9.142638999999999524e-06
3.050065399999999727e+01,1.499964999999999993e+00,9.144517000000000118e-06
3.060065399999999869e+01,1.499964999999999993e+00,9.156730000000000335e-06
3.070065599999999861e+01,1.499964999999999993e+00,9.155791000000000038e-06
3.080065600000000003e+01,1.499964999999999993e+00,9.157669000000000632e-06
3.090065599999999790e+01,1.499964999999999993e+00,9.161427000000000605e-06
3.100065599999999932e+01,1.499964999999999993e+00,9.164246000000000281e-06
3.110065599999999719e+01,1.499964999999999993e+00,9.171760999999999141e-06
3.120065599999999861e+01,1.499964999999999993e+00,9.174578999999999425e-06
3.130065600000000003e+01,1.499964999999999993e+00,9.184912999999999655e-06
3.140065599999999790e+01,1.499964999999999993e+00,9.182094999999999371e-06
3.150065599999999932e+01,1.499964999999999993e+00,9.180215999999999385e-06
3.160065599999999719e+01,1.499964999999999993e+00,9.193368999999999291e-06
3.170065400000000011e+01,1.499964999999999993e+00,9.199004999999999858e-06
3.180065600000000003e+01,1.499964999999999993e+00,9.206520999999999805e-06
3.190065599999999790e+01,1.499964999999999993e+00,9.199944000000000155e-06
3.200065800000000138e+01,1.499964999999999993e+00,9.203702000000000129e-06
3.210065600000000074e+01,1.499964999999999993e+00,9.201823000000000142e-06
3.220065400000000011e+01,1.499964999999999993e+00,9.215915000000000345e-06
3.230065400000000153e+01,1.499964999999999993e+00,9.202762999999999831e-06
3.240065599999999790e+01,1.499964999999999993e+00,9.217794000000000332e-06
3.250065399999999727e+01,1.499964999999999993e+00,9.209337999999999002e-06
3.260065600000000074e+01,1.499964999999999993e+00,9.216854000000000642e-06
3.270065400000000011e+01,1.499964999999999993e+00,9.226249000000000575e-06
3.280065400000000153e+01,1.499964999999999993e+00,9.222491000000000602e-06
3.290065599999999790e+01,1.499964999999999993e+00,9.217794000000000332e-06
3.300065800000000138e+01,1.499964999999999993e+00,9.226249000000000575e-06
3.310065600000000074e+01,1.499964999999999993e+00,9.228128000000000562e-06
3.320065400000000011e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.330065799999999854e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.340065599999999790e+01,1.499964999999999993e+00,9.241279999999999382e-06
3.350065399999999727e+01,1.499964999999999993e+00,9.234702999999999732e-06
3.360065600000000074e+01,1.499964999999999993e+00,9.228128000000000562e-06
3.370065599999999506e+01,1.499964999999999993e+00,9.228128000000000562e-06
3.380065199999999948e+01,1.499964999999999993e+00,9.229066999999999165e-06
3.390065599999999790e+01,1.499964999999999993e+00,9.236581999999999719e-06
3.400065599999999932e+01,1.499964999999999993e+00,9.236581999999999719e-06
3.410065600000000074e+01,1.499964999999999993e+00,9.236581999999999719e-06
3.420065599999999506e+01,1.499964999999999993e+00,9.237521999999999408e-06
3.430065199999999948e+01,1.499964999999999993e+00,9.233763999999999435e-06
3.440065599999999790e+01,1.499964999999999993e+00,9.234702999999999732e-06
3.450065199999999521e+01,1.499964999999999993e+00,9.239400999999999395e-06
3.460065600000000074e+01,1.499964999999999993e+00,9.244097999999999665e-06
3.470065599999999506e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.480065199999999948e+01,1.499964999999999993e+00,9.243158999999999368e-06
3.490065599999999790e+01,1.499964999999999993e+00,9.234702999999999732e-06
3.500065199999999521e+01,1.499964999999999993e+00,9.236581999999999719e-06
3.510065600000000074e+01,1.499964999999999993e+00,9.241279999999999382e-06
3.520065599999999506e+01,1.499964999999999993e+00,9.238460999999999706e-06
3.530065199999999948e+01,1.499964999999999993e+00,9.238460999999999706e-06
3.540065599999999790e+01,1.499964999999999993e+00,9.241279999999999382e-06
3.550065599999999932e+01,1.499964999999999993e+00,9.246915999999999949e-06
3.560065600000000074e+01,1.499964999999999993e+00,9.250673999999999922e-06
3.570065599999999506e+01,1.499964999999999993e+00,9.235642999999999422e-06
3.580065599999999648e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.590065599999999790e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.600065199999999521e+01,1.499964999999999993e+00,9.237521999999999408e-06
3.610065600000000074e+01,1.499964999999999993e+00,9.240339999999999692e-06
3.620065599999999506e+01,1.499964999999999993e+00,9.239400999999999395e-06
3.630065199999999948e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.640065599999999790e+01,1.499964999999999993e+00,9.240339999999999692e-06
3.650065599999999932e+01,1.499964999999999993e+00,9.240339999999999692e-06
3.660065600000000074e+01,1.499964999999999993e+00,9.234702999999999732e-06
3.670065999999999917e+01,1.499964999999999993e+00,9.230007000000000548e-06
3.680065199999999948e+01,1.499964999999999993e+00,9.245037999999999355e-06
3.690065599999999790e+01,1.499964999999999993e+00,9.228128000000000562e-06
3.700065999999999633e+01,1.499964999999999993e+00,9.237521999999999408e-06
3.710066400000000186e+01,1.499964999999999993e+00,9.223429999999999205e-06
3.720066399999999618e+01,1.499964999999999993e+00,9.225308999999999192e-06
3.730066399999999760e+01,1.499964999999999993e+00,9.226249000000000575e-06
3.740066399999999902e+01,1.499964999999999993e+00,9.228128000000000562e-06
3.750066400000000044e+01,1.499964999999999993e+00,9.233763999999999435e-06
3.760065600000000074e+01,1.499964999999999993e+00,9.219673000000000318e-06
3.770065599999999506e+01,1.499964999999999993e+00,9.216854000000000642e-06
3.780065599999999648e+01,1.499964999999999993e+00,9.223429999999999205e-06
3.790065599999999790e+01,1.499964999999999993e+00,9.208399000000000399e-06
3.800065199999999521e+01,1.499964999999999993e+00,9.232824999999999138e-06
3.810065600000000074e+01,1.499964999999999993e+00,9.206520999999999805e-06
3.820065599999999506e+01,1.499964999999999993e+00,9.203702000000000129e-06
3.830065599999999648e+01,1.499964999999999993e+00,9.208399000000000399e-06
